0,45,12,6
1,22,20,19
2,13,11,48
3,39,10,42
4,32,7,6
5,10,18,19
6,37,43,6
7,40,17,50
8,46,49,39
9,31,19,33
10,42,22,5
11,15,49,32
12,26,22,14
13,18,26,11
14,10,29,11
15,27,27,43
16,21,7,34
17,39,12,29
18,10,40,23
19,45,44,28
20,41,17,50
21,9,7,47
22,19,23,10
23,19,11,29
24,22,34,45
25,28,15,28
26,27,18,47
27,22,49,48
28,46,9,43
29,45,15,39
30,20,15,34
31,29,22,45
32,49,40,19
33,48,25,8
34,19,7,25
35,30,22,9
36,18,41,50
37,25,18,46
38,36,30,46
39,34,14,21
40,13,20,40
41,39,21,42
42,32,42,30
43,28,19,13
44,37,36,10
45,8,12,14
46,45,15,48
47,32,43,9
48,29,29,43
49,34,38,21
