0,45,12,6,40,5
1,22,20,19,48,12
2,13,11,48,48,39
3,39,10,42,22,46
4,32,7,6,26,12
5,10,18,19,23,32
6,37,43,6,15,34
7,40,17,50,5,21
8,46,49,39,37,16
9,31,19,33,37,11
10,42,22,5,45,24
11,15,49,32,45,37
12,26,22,14,43,17
13,18,26,11,14,28
14,10,29,11,15,39
15,27,27,43,38,5
16,21,7,34,43,25
17,39,12,29,36,6
18,10,40,23,12,28
19,45,44,28,24,20
20,41,17,50,8,20
21,9,7,47,41,10
22,19,23,10,10,36
23,19,11,29,9,39
24,22,34,45,13,13
25,28,15,28,47,35
26,27,18,47,40,15
27,22,49,48,21,38
28,46,9,43,43,32
29,45,15,39,18,39
30,20,15,34,49,17
31,29,22,45,50,24
32,49,40,19,30,47
33,48,25,8,46,28
34,19,7,25,33,38
35,30,22,9,33,12
36,18,41,50,20,19
37,25,18,46,9,26
38,36,30,46,6,42
39,34,14,21,40,19
40,13,20,40,42,19
41,39,21,42,5,9
42,32,42,30,50,45
43,28,19,13,8,19
44,37,36,10,9,7
45,8,12,14,26,9
46,45,15,48,37,20
47,32,43,9,22,47
48,29,29,43,36,18
49,34,38,21,39,13
